id,codigo,codigo_alterno,marca,aplicacion,linea,familia,aux1,aux2,aux3,stock,precio,precio_iva,precio_22,precio_24,precio_almacen,ganancia1,precio_taller,ganancia2,date_created,date_updated
496,CB3204,,NWO,"Chevrolet Isuzu Luv 2,2 , D-max 2.5 Diesel",Rulimanes,,,,,0,9.78,10.95,7.63,8.54,11.17,2.68,11.83,3.55,5/1/23,
497,CB4154,,NWO,"Chevrolet Isuzu Luv Trooper Rodeo 3,23.5 V6",Rulimanes,,,,,0,12.95,14.50,10.10,11.31,14.79,3.55,15.66,4.70,5/1/23,
498,CB423-1,,NWO,Chevrolet Isuzu NHR,Rulimanes,,,,,0,11.75,13.16,9.17,10.26,13.42,3.22,14.21,4.26,5/1/23,
499,CB281A,,NWO,Chevrolet N200/N300 1.2/ Chev.Sail 1.4,Rulimanes,,,,,0,7.72,8.65,6.02,6.74,8.82,2.12,9.34,2.80,5/1/23,
500,YB012-1,,NWO,"Chevrolet Optra 1,8L, Tracker 1.8L",Actuador,,,,,0,28.5,31.92,22.23,24.90,32.56,7.81,34.47,10.34,5/1/23,
501,CB319,,NWO,"Chevrolet Suzuki Forsa I II, Esteem, Spark",Rulimanes,,,,,0,8.12,9.09,6.33,7.09,9.28,2.23,9.82,2.95,5/1/23,
502,CB205-5,,NWO,"Chevrolet Suzuki Forza I , II ,Spark , Steem",Rulimanes,,,,,0,7.65,8.57,5.97,6.68,8.74,2.10,9.25,2.78,5/1/23,
503,CB3325,,NWO,"Chevrolet Suzuki Vitara 3P. 5P. , Swift 1.6",Rulimanes,,,,,0,9.25,10.36,7.22,8.08,10.57,2.54,11.19,3.36,5/1/23,
504,CB3805,,NWO,"Daewoo Racer, Cielo, Lanos,Espero",Rulimanes,,,,,0,8.36,9.36,6.52,7.30,9.55,2.29,10.11,3.03,5/1/23,
505,YB005,,NWO,Ford F150-250-350-Ran. Aeros. 86-92 Exp. 91-92,Actuador,,,,,0,39.85,44.63,31.08,34.81,45.52,10.93,48.20,14.46,5/1/23,
506,YB007,,NWO,Ford Ranger-Explorer 2.3-3.0-4.0-4.2-4.6 00-01,Actuador,,,,,0,39.85,44.63,31.08,34.81,45.52,10.93,48.20,14.46,5/1/23,
507,YB038,,NWO,Great Wall H6 2.0 (Turbo)(Can),Actuador,,,,,0,30.25,33.88,23.60,26.43,34.56,8.29,36.59,10.98,5/1/23,
508,CB272,,NWO,Hino FF1J / GD / GH / FG / AK,Rulimanes,,,,,0,18.42,20.63,14.37,16.09,21.04,5.05,22.28,6.68,5/1/23,
509,CB336-1,,NWO,Hyundai Accent/Verna 1.5/1.6/ Mazda 2,Rulimanes,,,,,0,8.52,9.54,6.65,7.44,9.73,2.34,10.31,3.09,5/1/23,
510,CB336,,NWO,"Hyundai Excel 1.5, Accent 1.3,  Pony",Rulimanes,,,,,0,8.9,9.97,6.94,7.78,10.17,2.44,10.77,3.23,5/1/23,
511,CB270,,NWO,"Mazda 2.0-2.2-2.6, Ford Courier",Rulimanes,,,,,0,9.62,10.77,7.50,8.40,10.99,2.64,11.64,3.49,5/1/23,
512,CB3625,,NWO,"Mazda 2.2-2.6, Inyec BT-50 Diesel, Ford Ranger",Rulimanes,,,,,0,9.75,10.92,7.61,8.52,11.14,2.67,11.79,3.54,5/1/23,
513,YB022A,,NWO,Mitsubishi ASX / Citroen / Peugeot,Actuador,,,,,0,32.5,36.40,25.35,28.39,37.13,8.91,39.31,11.79,5/1/23,
514,YB075,,NWO,Mitsubishi Fuso Canter,Actuador,,,,,0,78.24,87.63,61.03,68.35,89.38,21.45,94.64,28.39,5/1/23,
515,CB400,,NWO,Mitsubishi Montero L200 4x2/ Haval H5,Rulimanes,,,,,0,9.45,10.58,7.37,8.26,10.80,2.59,11.43,3.43,5/1/23,
516,CB190,,NWO,"Nissan 1200 , 1500 , 1800 , Pathfinder KA24",Rulimanes,,,,,0,6.15,6.89,4.80,5.37,7.03,1.69,7.44,2.23,5/1/23,
517,CB235,,NWO,"Nissan 2400, Frontier old",Rulimanes,,,,,0,9.35,10.47,7.29,8.17,10.68,2.56,11.31,3.39,5/1/23,
518,CB130,,NWO,Nissan Sentra/Saloon B13-B14 1.5-1.6 86-00,Rulimanes,,,,,0,8.99,10.07,7.01,7.85,10.27,2.46,10.87,3.26,5/1/23,
519,YB029-2,,NWO,Nissan Sport SE - Qashqai  2.0/ Tiida 1.8/ X-Trail,Actuador,,,,,0,36.5,40.88,28.47,31.89,41.70,10.01,44.15,13.25,5/1/23,
520,CB306,,NWO,"Peugeot 206 1.4 - 1.6, Tata Indica",Rulimanes,,,,,0,7.11,7.96,5.55,6.21,8.12,1.95,8.60,2.58,5/1/23,
521,CB205-1,,NWO,Renault Megane Scenic Clio / Volvo,Rulimanes,,,,,0,7.95,8.90,6.20,6.95,9.08,2.18,9.62,2.88,5/1/23,
522,CB380-1,,NWO,Toyota Hilux 2.5 Diesel,Rulimanes,,,,,0,10.85,12.15,8.46,9.48,12.40,2.97,13.12,3.94,5/1/23,
523,CB505-2,,NWO,Toyota Hilux 2.5 Diesel,Rulimanes,,,,,0,12.55,14.06,9.79,10.96,14.34,3.44,15.18,4.55,5/1/23,
524,CB341,,NWO,Toyota Prado 2.7-Fort. 2.7-Gra.tiger 2.7-Hilux 2.4,Rulimanes,,,,,0,10.55,11.82,8.23,9.22,12.05,2.89,12.76,3.83,5/1/23,
525,CB301,,NWO,"Toyota Sto. 2.2, HiLux 2.7, 3Y,4Y,22R, Wing. 2.2",Rulimanes,,,,,0,9.72,10.89,7.58,8.49,11.10,2.66,11.76,3.53,5/1/23,
526,CB316-1,,NWO,"Toyota Tercel , Corolla",Rulimanes,,,,,0,9.55,10.70,7.45,8.34,10.91,2.62,11.55,3.47,5/1/23,
527,24TK308BK,BC12545B,MRK,"Chevrolet 1.6 , 1.8 , Luv Trooper  2.0",Rulimanes,,,,,0,6.52,7.30,5.09,5.70,7.45,1.79,7.89,2.37,5/1/23,
528,TKS48-30K,48TKA3211B,MRK,"Chevrolet Gemini, Chevrolet Aska",Rulimanes,,,,,0,13.97,15.65,10.90,12.20,15.96,3.83,16.90,5.07,5/1/23,
529,TKS64-01U,23820-64J00,MRK,Chevrolet Grand Vitara SZ 2.0L-2.4L,Actuador,,,,,0,39.88,44.67,31.11,34.84,45.56,10.93,48.24,14.47,5/1/23,
530,TKS60-30K,60TKZ3201R/PRB-326,MRK,"Chevrolet Isuzu D-max 2.4 , 2.8 3.0",Rulimanes,,,,,0,15.59,17.46,12.16,13.62,17.81,4.27,18.86,5.66,5/1/23,
531,TKS55BL,CT55BL1-MRK,MRK,"Chevrolet Isuzu FTR 14-15""",Rulimanes,,,,,0,12.2,13.66,9.52,10.66,13.94,3.34,14.76,4.43,5/1/23,
532,TKS48-45K,48TKB3204/PRB-330,MRK,Chevrolet Isuzu Luv 2.2 D-max 2.5 Diesel,Rulimanes,,,,,0,17.3,19.38,13.49,15.11,19.76,4.74,20.93,6.28,5/1/23,
533,TKS48-37K,48TKA3214/RCT37SA1,MRK,Chevrolet Isuzu Luv 2.3 - Tooper,Rulimanes,,,,,0,9.73,10.90,7.59,8.50,11.12,2.67,11.77,3.53,5/1/23,
534,TKS68-32K,68TKP3201 / BRG-603J,MRK,"Chevrolet Isuzu Luv Trooper Rodeo 3,23.5 V6",Rulimanes,,,,,0,20.82,23.32,16.24,18.19,23.78,5.71,25.18,7.56,5/1/23,
535,TKS60-50K,60TKZ3503R/60TKZ3503,MRK,Chevrolet Isuzu NHR,Rulimanes,,,,,0,17.25,19.32,13.46,15.07,19.71,4.73,20.87,6.26,5/1/23,
536,TKS78-40K,78TKL4001-MRK,MRK,Chevrolet Isuzu NPR /06,Rulimanes,,,,,0,22.37,25.05,17.45,19.54,25.56,6.13,27.06,8.12,5/1/23,
537,TKS78-48K,78TKL4801R-J,MRK,Chevrolet Isuzu NPR 2005/- 49MM,Rulimanes,,,,,0,24.16,27.06,18.84,21.11,27.60,6.62,29.22,8.77,5/1/23,
538,TKS78-54K,78RKC5401-MRK-J,MRK,Chevrolet Isuzu NPR 48d1-4HE1-Mitsubishi Canter,Rulimanes,,,,,0,12.47,13.97,9.73,10.89,14.25,3.42,15.08,4.53,5/1/23,
539,TKS54-40K,RCT401SA,MRK,Chevrolet Isuzu NPR-NKR/ JAC 3.0/ JMC 3.0,Rulimanes,,,,,0,12.67,14.19,9.88,11.07,14.47,3.47,15.33,4.60,5/1/23,
540,TKS52-28K-MRK,RCTS28SA/PRB-06,MRK,"Chevrolet Suzuki Forza I , II ,Spark , Steem",Rulimanes,,,,,0,11.41,12.78,8.90,9.97,13.03,3.13,13.80,4.14,5/1/23,
541,TKS50-65K,FCR-50-41-3,MRK,Chevrolet Suzuki Grand Vitara 3P - 5P,Rulimanes,,,,,0,14.41,16.14,11.24,12.59,16.46,3.95,17.43,5.23,5/1/23,
542,TKS48-39K,23265-81A20-000/FCR4,MRK,Chevrolet Suzuki Jimmy 1.3 00-01/ Van Paraty 1.3 04,Rulimanes,,,,,0,14.04,15.72,10.95,12.27,16.04,3.85,16.98,5.09,5/1/23,
543,TKS50-30K,FCR50-30-14,MRK,"Chevrolet Suzuki Vitara 3P. 5P. , Swift 1.6",Rulimanes,,,,,0,10.59,11.86,8.26,9.25,12.10,2.90,12.81,3.84,5/1/23,
544,TKS44-25K,CBU442822,MRK,Daihatsu Feroza-Terrios-Charade 80/88,Rulimanes,,,,,0,9.81,10.99,7.65,8.57,11.21,2.69,11.87,3.56,5/1/23,
545,TKS45-28K,RCT 282SA,MRK,Daihatsu Rocky 1600 90- Terios,Rulimanes,,,,,0,13.62,15.25,10.62,11.90,15.56,3.73,16.47,4.94,5/1/23,
546,TKS70-1,CT70B,MRK,Hino FF1J / GD / GH / FG / AK,Rulimanes,,,,,0,18.96,21.24,14.79,16.56,21.66,5.20,22.93,6.88,5/1/23,
547,TKS65-20K,65TNK20-MRK-J,MRK,"Hino Super H06C-7, H07C-T, FF17, FC18",Rulimanes,,,,,0,16.71,18.72,13.03,14.60,19.09,4.58,20.21,6.06,5/1/23,
548,TKS47-40K,47SCRN40P-4,MRK,Honda  Civic 92/95,Rulimanes,,,,,0,14.64,16.40,11.42,12.79,16.72,4.01,17.71,5.31,5/1/23,
549,TKS55-34K,,MRK,Honda CRV 2.0 07>,Rulimanes,,,,,0,14.88,16.67,11.61,13.00,17.00,4.08,18.00,5.40,5/1/23,
550,TKS48-33K,41421-28000,MRK,Hyundai Accent Vernat-Getz 1.6,Rulimanes,,,,,0,12.12,13.57,9.45,10.59,13.85,3.32,14.66,4.40,5/1/23,
551,TKS48-01K,48TKA3201-J,MRK,"Hyundai Excel Elantra Lancer 90-95, Asx 1.5",Rulimanes,,,,,0,11.8,13.22,9.20,10.31,13.48,3.24,14.27,4.28,5/1/23,
552,TK40-14K,,MRK,"Mazda 1200-Hilux 12R 75-80, Mit",Rulimanes,,,,,0,7.27,8.14,5.67,6.35,8.31,1.99,8.79,2.64,5/1/23,
553,TK45-4BK,0222-16-222,MRK,Mazda 1600-616-929,Rulimanes,,,,,0,7.86,8.80,6.13,6.87,8.98,2.16,9.51,2.85,5/1/23,
554,TKS-54K-MRK-J,FCR54-46/2E,MRK,"Mazda 2.0-2.2-2.6, Ford Courier",Rulimanes,,,,,0,11.85,13.27,9.24,10.35,13.54,3.25,14.33,4.30,5/1/23,
555,TKS54-19K,TKS54-33K/CBU543625J,MRK,"Mazda 2.2-2.6, Inyec BT-50 Diesel, Ford Ranger",Rulimanes,,,,,0,11.85,13.27,9.24,10.35,13.54,3.25,14.33,4.30,5/1/23,
556,TKS54-33K,CBU-543625E-J/TKS54-,MRK,"Mazda 2.2-2.6, Inyec BT-50 Diesel, Ford Ranger",Rulimanes,,,,,0,12.77,14.30,9.96,11.16,14.59,3.50,15.45,4.63,5/1/23,
557,TKS50-17K-MRK,FCR50-1-4,MRK,Mazda 323 85-,Rulimanes,,,,,0,12.95,14.50,10.10,11.31,14.79,3.55,15.66,4.70,5/1/23,
558,TKS47-35K-MRK-J,CBU472921C,MRK,Mazda 323 NX Allegro/ Festiva Kia Rio Stylus,Rulimanes,,,,,0,10.3,11.54,8.03,9.00,11.77,2.82,12.46,3.74,5/1/23,
559,TKS50-10K,E301-16-510,MRK,Mazda 323 TC-UC 78-81,Rulimanes,,,,,0,11.86,13.28,9.25,10.36,13.55,3.25,14.35,4.30,5/1/23,
560,TKS68-47K,RCT4700SA/PRB - 113,MRK,Mitsubishi Canter 4034T HY HD72/78,Rulimanes,,,,,0,29.36,32.88,22.90,25.65,33.54,8.05,35.51,10.65,5/1/23,
561,TKS32-1K,,MRK,"Mitsubishi L200 4*4, Mit. Montero 2.6 4x4",Rulimanes,,,,,0,16.64,18.64,12.98,14.54,19.01,4.56,20.13,6.04,5/1/23,
562,TKS55-17K,PRB - 02,MRK,"Mitsubishi L200 4*4, Mit. Montero 2.6 4x4",Rulimanes,,,,,0,17.42,19.51,13.59,15.22,19.90,4.78,21.07,6.32,5/1/23,
563,TKS58-37K,58TKA3703/PRB-50,MRK,"Mitsubishi Mont. 3.0 Mit. Can. 4D30,4D31,4D32/HD-65",Rulimanes,,,,,0,14.78,16.55,11.53,12.91,16.88,4.05,17.88,5.36,5/1/23,
564,TKS54-60K,,MRK,Mitsubishi Montero 3.5 Nissan Pathfinder 3.5,Rulimanes,,,,,0,19.56,21.91,15.26,17.09,22.35,5.36,23.66,7.10,5/1/23,
565,TKS55-1K,RCTS324SA/FCR-55-1,MRK,Mitsubishi Montero L200 4x2/ Haval H5,Rulimanes,,,,,0,13.26,14.85,10.34,11.58,15.15,3.64,16.04,4.81,5/1/23,
566,TK40-4AK,TK40-4/ RCT4075-1S,MRK,"Nissan 1200 , 1500 , 1800 , Pathfinder",Rulimanes,,,,,0,6.42,7.19,5.01,5.61,7.33,1.76,7.77,2.33,5/1/23,
567,TKS60-42K,RCT 422SA1,MRK,"Nissan 2400, Frontier old, Rodeo 2.6",Rulimanes,,,,,0,12.22,13.69,9.53,10.68,13.96,3.35,14.78,4.43,5/1/23,
568,TK 40-1K,RCT 4067-L1,MRK,Nissan Datsun 1500 (Mexicano),Rulimanes,,,,,0,5.78,6.47,4.51,5.05,6.60,1.58,6.99,2.10,5/1/23,
569,TKS-4000A,RCT 4000SA,MRK,Nissan Frontier,Rulimanes,,,,,0,14.52,16.26,11.33,12.68,16.59,3.98,17.56,5.27,5/1/23,
570,TKS62-40K,RCT 40 SA,MRK,Nissan Pathfinder 2400 - 3.51 0,Rulimanes,,,,,0,10.97,12.29,8.56,9.58,12.53,3.01,13.27,3.98,5/1/23,
571,TKS48-23K-MRK,48TKB3301,MRK,Nissan Sentra/Saloon B13-B14 1.5-1.6 86-00,Rulimanes,,,,,0,12.34,13.82,9.63,10.78,14.10,3.38,14.93,4.48,5/1/23,
572,TKS62-5/30K,FCR62-30-6,MRK,"Nissan X-Trail, Navara",Rulimanes,,,,,0,15.92,17.83,12.42,13.91,18.19,4.36,19.26,5.78,5/1/23,
573,TKS62-5/28K,,MRK,"Nissan X-Trail, Navara(Sin Vinchas)",Rulimanes,,,,,0,17,19.04,13.26,14.85,19.42,4.66,20.56,6.17,5/1/23,
574,TKS44-30K-MRK,,MRK,"Suzuki Forsa I II, Esteem, Spark",Rulimanes,,,,,0,11.48,12.86,8.95,10.03,13.11,3.15,13.89,4.17,5/1/23,
575,35TMK29KR-MRK,,MRK,Toyota 1000,Rulimanes,,,,,0,7.21,8.08,5.62,6.30,8.24,1.98,8.72,2.62,5/1/23,
576,TKS68-38K,68TKB3803-J,MRK,"Toyota 15B , Daihatsu 15B",Rulimanes,,,,,0,20.51,22.97,16.00,17.92,23.43,5.62,24.81,7.44,5/1/23,
577,TK35-2RS,,MRK,"Toyota 4 Runner,Toyota 2200 ; 4Y ; 3Y ; 22R",Rulimanes,,,,,0,9.86,11.04,7.69,8.61,11.26,2.70,11.93,3.58,5/1/23,
578,TK40-2-RK,,MRK,"Toyota 4 Runner,Toyota 2200 ; 4Y ; 3Y ; 22R",Rulimanes,,,,,0,7.27,8.14,5.67,6.35,8.31,1.99,8.79,2.64,5/1/23,
579,TK40-16K,40TRK30W2SB,MRK,Toyota 5R  78-80  / 2000,Rulimanes,,,,,0,7.27,8.14,5.67,6.35,8.31,1.99,8.79,2.64,5/1/23,
580,TK33-1K,RCT3360A,MRK,Toyota Corolla 1000 - 1200,Rulimanes,,,,,0,7.01,7.85,5.47,6.12,8.01,1.92,8.48,2.54,5/1/23,
581,TKS50-31K,50SCRN31P-4B/31230-1,MRK,"Toyota Corolla Yaris 1.6 1.8 , Rav 4x2",Rulimanes,,,,,0,13.92,15.59,10.86,12.16,15.90,3.82,16.84,5.05,5/1/23,
582,TKS58-31K,58TKZ3504/PRB-196,MRK,Toyota Hilux 2.5 Diesel,Rulimanes,,,,,0,14.52,16.26,11.33,12.68,16.59,3.98,17.56,5.27,5/1/23,
583,TKS50-34K,RCT356SA8/31230-7106,MRK,Toyota Hilux 2.7- 3.0-Runner 3L- Hiace 97,Rulimanes,,,,,0,14.88,16.67,11.61,13.00,17.00,4.08,18.00,5.40,5/1/23,
584,TKS68-46K,68SCRN46P-3-J,MRK,Toyota Land Cruiser  3F,Rulimanes,,,,,0,21.04,23.56,16.41,18.38,24.04,5.77,25.45,7.63,5/1/23,
585,TKS68-48K,68SCRN46/31230-60150,MRK,Toyota Land Cruiser 4.5 1FZ -98 5Patas - Bajo,Rulimanes,,,,,0,21.96,24.60,17.13,19.18,25.09,6.02,26.56,7.97,5/1/23,
586,TKS68-58K,31230-60130-MRK,MRK,Toyota Land Cruiser 4.5 1FZ/93-97 -Alto,Rulimanes,,,,,0,20.93,23.44,16.33,18.28,23.91,5.74,25.32,7.60,5/1/23,
587,TKS50-44K,50TKB3504/RCT356SA9,MRK,Toyota Prado 2.7-Fort. 2.7-Gra.tiger 2.7-Hilux 2.4,Rulimanes,,,,,0,13.55,15.18,10.57,11.84,15.48,3.72,16.39,4.92,5/1/23,
588,TKS60-35K-MRK-J,60SCRN31P-6/TKS60-36,MRK,Toyota Rav 4X4 2002 Corona 94-Tax,Rulimanes,,,,,0,12.04,13.48,9.39,10.52,13.75,3.30,14.56,4.37,5/1/23,
589,TKS50-40K-MRK,50TKB3505R/TKS58-32K,MRK,"Toyota Sto. 2.2, HiLux 2.7, 3Y,4Y,22R, Wing. 2.2",Rulimanes,,,,,0,13.19,14.77,10.29,11.52,15.07,3.62,15.95,4.79,5/1/23,
590,TKS50-33K,50TKZ3301FR,MRK,"Toyota Tercel , Corolla",Rulimanes,,,,,0,15.12,16.93,11.79,13.21,17.27,4.15,18.29,5.49,5/1/23,
591,TKS50-28K,TKS50-33K,MRK,Toyota Tercel 1.3 1.5 / 92,Rulimanes,,,,,0,11.96,13.40,9.33,10.45,13.66,3.28,14.47,4.34,5/1/23,
592,CNC - 144,,Valeo,Baic Senova X55,Plato,Embragues,,,,0,68.03,76.19,53.06,59.43,77.72,18.65,82.29,24.69,5/1/23,
593,CNFW - 35,,Valeo,Baic Senova X55,Volante,Embragues,,,,0,295.91,331.42,230.81,258.51,338.05,81.13,357.93,107.38,5/1/23,
594,SZ - 42,,Valeo,Changan Star 1. 3L JL474,Discos,Embragues,"190mm, 18d",,,0,38.93,43.60,30.37,34.01,44.47,10.67,47.09,14.13,5/1/23,
595,SZC - 40,,Valeo,Changan Star 1. 3L JL474,Plato,Embragues,190mm,,,0,36.1305,40.47,28.18,31.56,41.28,9.91,43.70,13.11,5/1/23,
596,SZK - 041B,,Valeo,Changan Star 1.300,Kit ,Embragues,,,,0,96.1,107.63,74.96,83.95,109.78,26.35,116.24,34.87,5/1/23,
597,ASK - 009B,,Valeo,Cherry 800 QQ308/ Cherry Yoki 1.1/ Yoyo 1.2,Kit ,Embragues,"170mm, 18d",,,0,56.45,63.22,44.03,49.31,64.49,15.48,68.28,20.48,5/1/23,
598,CH - 08,,Valeo,Cherry Tiggo 2 06/ 4G64,Discos,Embragues,"225mm, 20d",,,0,51.82,58.04,40.42,45.27,59.20,14.21,62.68,18.80,5/1/23,
599,CHC - 06,,Valeo,Cherry Tiggo 2 06/ 4G64,Plato,Embragues,225mm,,,0,58.03,64.99,45.26,50.70,66.29,15.91,70.19,21.06,5/1/23,
600,J69-1601030,,Valeo,Chery Tiggo 2,Discos,Embragues,,,,0,32.46,36.36,25.32,28.36,37.08,8.90,39.26,11.78,5/1/23,
601,J69-1601020,,Valeo,Chery Tiggo 2,Plato,Embragues,,,,0,41.93,46.96,32.71,36.63,47.90,11.50,50.72,15.22,5/1/23,
602,M111601030BA,,Valeo,Chery Tiggo 3 1.6,Discos,Embragues,,,,0,25.32,28.36,19.75,22.12,28.93,6.94,30.63,9.19,5/1/23,
603,B211601020BA,,Valeo,Chery Tiggo 3 1.6,Plato,Embragues,,,,0,46.93,52.56,36.61,41.00,53.61,12.87,56.77,17.03,5/1/23,
604,826998,,Valeo,Chevrolet  Captiva 2.41/16V - Parcial,Set ,Embragues,"235mm, 23d",,,0,90.32,101.16,70.45,78.90,103.18,24.76,109.25,32.78,5/1/23,
605,OP - 05,,Valeo,Chevrolet  Corsa 1.6,Discos,Embragues,"200mm, 14d",,,0,41.8,46.82,32.60,36.52,47.75,11.46,50.56,15.17,5/1/23,
606,KIS - 10,,Valeo,"Chevrolet  Luv / Tropper 2,0/2,3 - sin ruliman-",Kit ,Embragues,,,,0,36.4,40.77,28.39,31.80,41.58,9.98,44.03,13.21,5/1/23,
607,DWK - 019B,,Valeo,"Chevrolet  Optra 1,8 DOHC",Kit ,Embragues,"215mm, 24d",,,0,122.83,137.57,95.81,107.30,140.32,33.68,148.58,44.57,5/1/23,
608,ISK - 023B,,Valeo,Chevrolet  Rodeo 2.8 Diesel,Kit ,Embragues,"240mm, 24d",,,0,114.24,127.95,89.11,99.80,130.51,31.32,138.18,41.46,5/1/23,
609,GMC - 69,,Valeo,Chevrolet  Sail 1.4,Plato,Embragues,200mm,,,0,43.92,49.19,34.26,38.37,50.17,12.04,53.13,15.94,5/1/23,
610,GMK - 052B,,Valeo,"Chevrolet  San Remo , Chevrolet ette 1,4-1,6 85>",Kit ,Embragues,"200mm, 14d",,,0,78.74,88.19,61.42,68.79,89.95,21.59,95.24,28.57,5/1/23,
611,DWK - 070B,,Valeo,Chevrolet  Spark GT/M300,Kit ,Embragues,"190mm, 18d",,,0,91.58,102.57,71.43,80.00,104.62,25.11,110.78,33.23,5/1/23,
612,SZ - 03,,Valeo,Chevrolet  Suzuki  Forza I,Discos,Embragues,"160mm, 18d",,,0,19.53,21.87,15.23,17.06,22.31,5.35,23.62,7.09,5/1/23,
613,SZK - 004B,,Valeo,Chevrolet  Suzuki / Super Carry,Kit ,Embragues,"180mm, 18d",,,0,73.96,82.84,57.69,64.61,84.49,20.28,89.46,26.84,5/1/23,
614,SZC - 05,,Valeo,Chevrolet  Suzuki / Super Carry,Plato,Embragues,180mm,,,0,35.89,40.20,27.99,31.35,41.00,9.84,43.41,13.02,5/1/23,
615,AMC - 37,,Valeo,Chevrolet  Suzuki Forza I,Plato,Embragues,170mm,,,0,37.74,42.27,29.44,32.97,43.11,10.35,45.65,13.70,5/1/23,
616,MB - 13,,Valeo,Chevrolet  Suzuki Gran Vitara 2.0/Mitsubishi.Expo/Gala,Discos,Embragues,"225mm, 20d",,,0,39.8,44.58,31.04,34.77,45.47,10.91,48.14,14.44,5/1/23,
617,SZ - 15,,Valeo,Chevrolet  Suzuki Grand Vitara 2.0,Discos,Embragues,"225mm, 20d",,,0,46.1895,51.73,36.03,40.35,52.77,12.66,55.87,16.76,5/1/23,
618,TYC - 03,,Valeo,"Chevrolet  Suzuki Grand Vitara 5P  V6 ,Toyota",Plato,Embragues,225mm,,,0,50.88,56.99,39.69,44.45,58.13,13.95,61.54,18.46,5/1/23,
619,SZ - 40,,Valeo,Chevrolet  Suzuki S-Cross 1.6,Discos,Embragues,"200m, 20d",,,0,42.88,48.03,33.45,37.46,48.99,11.76,51.87,15.56,5/1/23,
620,SZC - 39,,Valeo,Chevrolet  Suzuki S-Cross 1.6,Plato,Embragues,200mm,,,0,51.67,57.87,40.30,45.14,59.03,14.17,62.50,18.75,5/1/23,
621,SZ - 07,,Valeo,"Chevrolet  Suzuki Steem 1.6, Forza II 1.3",Discos,Embragues,"190mm, 18d",,,0,21.95,24.58,17.12,19.18,25.08,6.02,26.55,7.97,5/1/23,
622,SZ - 01,,Valeo,Chevrolet  Suzuki Super Carry,Discos,Embragues,"180mm, 18d",,,0,20.54,23.00,16.02,17.94,23.46,5.63,24.85,7.45,5/1/23,
623,MB - 16,,Valeo,Chevrolet  Suzuki Vitara / Hyundai Verna Matriz,Discos,Embragues,"215mm, 20d",,,0,34.74,38.91,27.10,30.35,39.69,9.52,42.02,12.61,5/1/23,
624,SZK - 017B,,Valeo,Chevrolet  Suzuki Vitara 3P,Kit ,Embragues,"200mm, 20d",,,0,71.14,79.68,55.49,62.15,81.27,19.50,86.05,25.82,5/1/23,
625,SZC - 08,,Valeo,Chevrolet  Suzuki Vitara 3P,Plato,Embragues,200mm,,,0,32.76,36.69,25.55,28.62,37.43,8.98,39.63,11.89,5/1/23,
626,SZK - 015B,,Valeo,"Chevrolet  Suzuki Vitara 3P 98< , Vitara 5P.",Kit ,Embragues,"215mm, 20d",,,0,92,103.04,71.76,80.37,105.10,25.22,111.28,33.38,5/1/23,
627,SZC - 12,,Valeo,"Chevrolet  Suzuki Vitara 5P, Grand Vitara 3P.",Plato,Embragues,,,,0,43.81,49.07,34.17,38.27,50.05,12.01,52.99,15.90,5/1/23,
628,KSZ - 03B,,Valeo,"Chevrolet  Suzuky I, Daewoo Matiz - Tico",Kit ,Embragues,"170mm, 18d",,,0,69.26,77.57,54.02,60.51,79.12,18.99,83.78,25.13,5/1/23,
629,KSZ - 07B,,Valeo,"Chevrolet  Suzuky Steem , Forza 1300",Kit ,Embragues,"190mm, 18d",,,0,67.44,75.53,52.60,58.92,77.04,18.49,81.58,24.47,5/1/23,
630,DWK - 040B,,Valeo,"Chevrolet Aveo 1,4 Activo ,  Aveo Emotion 1.6",Kit ,Embragues,"215mm, 24d",,,0,75.64,84.72,59.00,66.08,86.41,20.74,91.49,27.45,5/1/23,
631,DW - 22,,Valeo,"Chevrolet Aveo 1,6 1,8 , Chevrolet i. Monza, Zafira",Discos,Embragues,"215mm, 24d",,,0,37.46,41.96,29.22,32.73,42.79,10.27,45.31,13.59,5/1/23,
632,DW - 23,,Valeo,"Chevrolet Aveo 1,6 1,8 , Chevrolet i. Monza, Zafira",Discos,Embragues,"215mm, 24d",,,0,32.7285,36.66,25.53,28.59,37.39,8.97,39.59,11.88,5/1/23,
633,DWK - 015B,,Valeo,Chevrolet Aveo Chevrolet ytaxi 1.5 Family,Kit ,Embragues,"215mm, 24d",,,0,67.43,75.52,52.60,58.91,77.03,18.49,81.56,24.47,5/1/23,
634,DWK - 039B,,Valeo,Chevrolet Aveo Chevrolet ytaxi 1.5 Family Reforzado,Kit ,Embragues,"215mm, 24d",,,0,76.1,85.23,59.36,66.48,86.94,20.86,92.05,27.62,5/1/23,
635,DWC - 22,,Valeo,"Chevrolet Aveo Emotion/Activo , Optra 1.8",Plato,Embragues,215mm,,,0,39.79,44.56,31.04,34.76,45.46,10.91,48.13,14.44,5/1/23,
636,GMK - 054B,,Valeo,Chevrolet Corsa 1.400,Kit ,Embragues,"190mm, 14d",,,0,80.49,90.15,62.78,70.32,91.95,22.07,97.36,29.21,5/1/23,
637,GMC - 07,,Valeo,Chevrolet Corsa 1.600,Plato,Embragues,200mm,,,0,43.56,48.79,33.98,38.05,49.76,11.94,52.69,15.81,5/1/23,
